	Lagrangian mass coordinate (Msun)	Radius coordinate (Rsun)	Luminosity (Lsun)	Total pressure (N m-2)	Density (kg m-3)	Temperature (K)	Specific internal energy (J kg-1)	Specific entropy (J K-1 kg-1)	Specific heat at constant pressure (J K-1 kg-1)	First adiabatic exponent	Adiabatic temperature gradient	Mean molecular weight (see note below)	Electron number density (m-3)	Electron pressure (N m-2)	Radiation pressure (N m-2)	Radiative temperature gradient	Material temperature gradient	Convective velocity (m s-1)	Rosseland mean opacity (m2 kg-1)	Power per unit mass from all nuclear reactions, excluding neutrino losses (W kg-1)	Power per unit mass from PP chain (W kg-1)	Power per unit mass from CNO cycle (W kg-1)	Power per unit mass from triple-alpha reaction (W kg-1)	Power loss per unit mass in nuclear neutrinos (W kg-1)	Power loss per unit mass in non-nuclear neutrinos (W kg-1)	Power per unit mass from gravitational contraction (W kg-1)	Hydrogen mass fraction (all ionization stages)	Molecular hydrogen mass fraction	Singly-ionized hydrogen mass fraction	Helium mass fraction (all ionization stages)	Singly-ionized helium mass fraction	Doubly-ionized helium mass fraction	Carbon mass fraction	Nitrogren mass fraction	Oxygen mass fraction	Electron degeneracy parameter
	4.99999989E+00	2.66937510E+00	5.32552044E+02	9.49377864E+06	5.36216522E-07	1.24040225E+05	4.41473883E+13	2.89838230E+09	5.24588057E+08	1.59121316E+00	3.45665404E-01	6.19236746E-01	2.74207796E+17	4.66973793E+06	5.97021841E+05	2.64969135E-01	2.64969135E-01	0.00000000E+00	8.13905865E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	1.38114435E-17	6.98484586E-01	2.80000912E-01	1.17424274E-04	2.81275359E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.35591439E+01
	4.99999981E+00	2.66184654E+00	5.32552044E+02	1.60902662E+07	7.84580139E-07	1.43207827E+05	4.87078073E+13	2.87815092E+09	5.34823194E+08	1.58864029E+00	3.43852861E-01	6.19232197E-01	4.01220379E+17	7.88859976E+06	1.06073539E+06	2.76617768E-01	2.76617768E-01	0.00000000E+00	8.90741462E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	1.68924907E-17	6.98484618E-01	2.80000912E-01	7.01017772E-05	2.81322682E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.33940617E+01
	4.99999968E+00	2.65295820E+00	5.32552044E+02	2.75458498E+07	1.14657324E-06	1.66852173E+05	5.45091799E+13	2.86116166E+09	5.52135451E+08	1.58443283E+00	3.40917678E-01	6.19229645E-01	5.86341830E+17	1.34317607E+07	1.95464326E+06	2.88683535E-01	2.88683535E-01	0.00000000E+00	1.00060139E+01	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	2.04647364E-17	6.98484654E-01	2.80000912E-01	4.36275167E-05	2.81349156E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.32438940E+01
	4.99999945E+00	2.64230641E+00	5.32552044E+02	4.78287219E+07	1.68833766E-06	1.95465966E+05	6.16765688E+13	2.84490120E+09	5.73275120E+08	1.57959759E+00	3.37567963E-01	6.19228283E-01	8.63396339E+17	2.31702958E+07	3.68149861E+06	2.81001820E-01	2.81001820E-01	0.00000000E+00	1.05650786E+01	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	2.57795693E-17	6.98484582E-01	2.80000912E-01	2.91249789E-05	2.81363659E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.30943492E+01
	4.99999903E+00	2.62942706E+00	5.32552044E+02	8.48955558E+07	2.56766019E-06	2.27490231E+05	6.94494586E+13	2.82087643E+09	5.82531519E+08	1.57757945E+00	3.36177366E-01	6.19227837E-01	1.31307350E+18	4.10111594E+07	6.75446640E+06	2.43018073E-01	2.43018073E-01	0.00000000E+00	9.44435628E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	3.87307932E-17	6.98484061E-01	2.80000912E-01	2.23917484E-05	2.81370392E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.29026887E+01
	4.99999828E+00	2.61415899E+00	5.32552044E+02	1.54037204E+08	4.07108386E-06	2.61265371E+05	7.69877978E+13	2.78490552E+09	5.70826426E+08	1.58014064E+00	3.37944538E-01	6.19228094E-01	2.08190637E+18	7.46781176E+07	1.17508003E+07	2.17511491E-01	2.17511491E-01	0.00000000E+00	8.10497461E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	7.31855214E-17	6.98482830E-01	2.80000912E-01	2.01479680E-05	2.81372636E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.26494298E+01
	4.99999690E+00	2.59661662E+00	5.32552044E+02	2.83278809E+08	6.60734159E-06	2.98000390E+05	8.47206315E+13	2.74270096E+09	5.49508172E+08	1.58506067E+00	3.41356114E-01	6.19228813E-01	3.37891251E+18	1.38243328E+08	1.98887448E+07	2.11084124E-01	2.11084124E-01	0.00000000E+00	7.23896323E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	1.57496369E-16	6.98480899E-01	2.80000912E-01	1.99245435E-05	2.81372860E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.23625084E+01
	4.99999439E+00	2.57678852E+00	5.32552044E+02	5.24972592E+08	1.08151115E-05	3.39676632E+05	9.33539820E+13	2.69916659E+09	5.28074731E+08	1.59037383E+00	3.45063646E-01	6.19229890E-01	5.53069554E+18	2.57926485E+08	3.35739721E+07	2.10289056E-01	2.10289056E-01	0.00000000E+00	6.56916335E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	3.55745071E-16	6.98478273E-01	2.80000912E-01	2.06596664E-05	2.81372124E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.20661104E+01
	4.99998984E+00	2.55448421E+00	5.32552044E+02	9.78693661E+08	1.77985090E-05	3.87270529E+05	1.03137492E+14	2.65516484E+09	5.08022542E+08	1.59571978E+00	3.48815352E-01	6.19231389E-01	9.10186471E+18	4.83944437E+08	5.67280479E+07	2.07685938E-01	2.07685938E-01	0.00000000E+00	5.88010465E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	8.29804699E-16	6.98474755E-01	2.80000912E-01	2.22193386E-05	2.81370565E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.17646532E+01
	4.99998158E+00	2.52948115E+00	5.32552044E+02	1.83430495E+09	2.94747688E-05	4.41080840E+05	1.14069726E+14	2.61020656E+09	4.88643589E+08	1.60127588E+00	3.52733584E-01	6.19233479E-01	1.50728151E+19	9.12774423E+08	9.54581061E+07	2.03396612E-01	2.03396612E-01	0.00000000E+00	5.17024559E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	0.00000000E+00	-0.00000000E+00	-0.00000000E+00	7.00002280E-01	2.01178059E-15	6.98469950E-01	2.80000912E-01	2.48043776E-05	2.81367980E-01	3.52001146E-03	1.05992938E-03	1.00400327E-02	-1.14554128E+01
