	wavelength	i
	0.87796E+04	0.10000E+01
	0.87827E+04	0.10000E+01
	0.87858E+04	0.10000E+01
	0.87889E+04	0.10000E+01
	0.87920E+04	0.10000E+01
	0.87951E+04	0.10000E+01
	0.87982E+04	0.10000E+01
	0.88013E+04	0.10000E+01
	0.88044E+04	0.99980E+00
	0.88075E+04	0.10000E+01
	0.88106E+04	0.10000E+01
	0.88137E+04	0.99980E+00
	0.88168E+04	0.10000E+01
	0.88199E+04	0.10000E+01
	0.88230E+04	0.99980E+00
	0.88261E+04	0.10000E+01
	0.88292E+04	0.10000E+01
	0.88324E+04	0.99980E+00
	0.88355E+04	0.10000E+01
	0.88386E+04	0.10000E+01
	0.88417E+04	0.10000E+01
	0.88449E+04	0.10000E+01
	0.88480E+04	0.10000E+01
	0.88511E+04	0.10000E+01
	0.88543E+04	0.99980E+00
	0.88574E+04	0.10000E+01
	0.88605E+04	0.99850E+00
	0.88637E+04	0.10000E+01
	0.88668E+04	0.10000E+01
	0.88700E+04	0.99940E+00
	0.88731E+04	0.10000E+01
	0.88763E+04	0.10000E+01
	0.88794E+04	0.10000E+01
	0.88826E+04	0.99850E+00
	0.88857E+04	0.99970E+00
	0.88889E+04	0.10000E+01
	0.88921E+04	0.10000E+01
	0.88952E+04	0.10000E+01
	0.88984E+04	0.99920E+00
	0.89015E+04	0.99950E+00
	0.89047E+04	0.99990E+00
	0.89079E+04	0.10000E+01
	0.89111E+04	0.99960E+00
	0.89142E+04	0.99970E+00
	0.89174E+04	0.99950E+00
	0.89206E+04	0.99840E+00
	0.89238E+04	0.99950E+00
	0.89270E+04	0.10000E+01
	0.89302E+04	0.99440E+00
	0.89334E+04	0.99520E+00
	0.89366E+04	0.99360E+00
	0.89397E+04	0.99940E+00
	0.89429E+04	0.99410E+00
	0.89461E+04	0.99440E+00
	0.89493E+04	0.99030E+00
	0.89526E+04	0.99170E+00
	0.89558E+04	0.96900E+00
	0.89590E+04	0.97900E+00
	0.89622E+04	0.99190E+00
	0.89654E+04	0.94860E+00
	0.89686E+04	0.94930E+00
	0.89718E+04	0.99600E+00
	0.89750E+04	0.93670E+00
	0.89783E+04	0.96520E+00
	0.89815E+04	0.95450E+00
	0.89847E+04	0.97850E+00
	0.89880E+04	0.95520E+00
	0.89912E+04	0.88590E+00
	0.89944E+04	0.86760E+00
	0.89977E+04	0.99840E+00
	0.90009E+04	0.98970E+00
	0.90041E+04	0.90890E+00
	0.90074E+04	0.93590E+00
	0.90106E+04	0.95180E+00
	0.90139E+04	0.94660E+00
	0.90171E+04	0.99010E+00
	0.90204E+04	0.88840E+00
	0.90236E+04	0.94480E+00
	0.90269E+04	0.91840E+00
	0.90302E+04	0.98550E+00
	0.90334E+04	0.96540E+00
	0.90367E+04	0.99640E+00
	0.90400E+04	0.10000E+01
	0.90432E+04	0.98430E+00
	0.90465E+04	0.97910E+00
	0.90498E+04	0.99070E+00
	0.90531E+04	0.99350E+00
	0.90563E+04	0.96690E+00
	0.90596E+04	0.99930E+00
	0.90629E+04	0.97020E+00
	0.90662E+04	0.96600E+00
	0.90695E+04	0.99550E+00
	0.90728E+04	0.90100E+00
	0.90761E+04	0.92570E+00
	0.90794E+04	0.99910E+00
	0.90827E+04	0.89110E+00
	0.90860E+04	0.99700E+00
	0.90893E+04	0.90980E+00
	0.90926E+04	0.98040E+00
	0.90959E+04	0.95750E+00
	0.90992E+04	0.98000E+00
	0.91025E+04	0.90840E+00
	0.91058E+04	0.99810E+00
	0.91091E+04	0.91180E+00
	0.91124E+04	0.98490E+00
	0.91158E+04	0.99610E+00
	0.91191E+04	0.94930E+00
	0.91224E+04	0.93350E+00
	0.91258E+04	0.98740E+00
	0.91291E+04	0.98040E+00
	0.91324E+04	0.90540E+00
	0.91358E+04	0.96090E+00
	0.91391E+04	0.89120E+00
	0.91424E+04	0.99080E+00
	0.91458E+04	0.98600E+00
	0.91491E+04	0.99750E+00
	0.91525E+04	0.98190E+00
	0.91558E+04	0.93350E+00
	0.91592E+04	0.90610E+00
	0.91625E+04	0.97860E+00
	0.91659E+04	0.98950E+00
	0.91693E+04	0.98380E+00
	0.91726E+04	0.98680E+00
	0.91760E+04	0.92000E+00
	0.91794E+04	0.95400E+00
	0.91827E+04	0.98900E+00
	0.91861E+04	0.95630E+00
	0.91895E+04	0.99680E+00
	0.91929E+04	0.99170E+00
	0.91962E+04	0.96830E+00
	0.91996E+04	0.97560E+00
	0.92030E+04	0.99760E+00
	0.92064E+04	0.99590E+00
	0.92098E+04	0.98070E+00
	0.92132E+04	0.99870E+00
	0.92166E+04	0.97190E+00
	0.92200E+04	0.97610E+00
	0.92234E+04	0.99330E+00
	0.92268E+04	0.98690E+00
	0.92302E+04	0.99700E+00
	0.92336E+04	0.98730E+00
	0.92370E+04	0.98220E+00
	0.92404E+04	0.97790E+00
	0.92439E+04	0.99400E+00
	0.92473E+04	0.97160E+00
	0.92507E+04	0.99260E+00
	0.92541E+04	0.98420E+00
	0.92575E+04	0.99200E+00
	0.92610E+04	0.99190E+00
	0.92644E+04	0.97240E+00
	0.92678E+04	0.99460E+00
	0.92713E+04	0.99240E+00
	0.92747E+04	0.97810E+00
	0.92782E+04	0.98400E+00
	0.92816E+04	0.93930E+00
	0.92851E+04	0.99240E+00
	0.92885E+04	0.95610E+00
	0.92920E+04	0.97410E+00
	0.92954E+04	0.93760E+00
	0.92989E+04	0.91280E+00
	0.93023E+04	0.90120E+00
	0.93058E+04	0.90770E+00
	0.93093E+04	0.89560E+00
	0.93127E+04	0.83960E+00
	0.93162E+04	0.92720E+00
	0.93197E+04	0.68790E+00
	0.93231E+04	0.89130E+00
	0.93266E+04	0.70380E+00
	0.93301E+04	0.86450E+00
	0.93336E+04	0.96300E+00
	0.93371E+04	0.68130E+00
	0.93406E+04	0.75240E+00
	0.93440E+04	0.72620E+00
	0.93475E+04	0.51170E+00
	0.93510E+04	0.97000E+00
	0.93545E+04	0.80420E+00
	0.93580E+04	0.73080E+00
	0.93615E+04	0.62550E+00
	0.93650E+04	0.94010E+00
	0.93686E+04	0.72970E+00
	0.93721E+04	0.72010E+00
	0.93756E+04	0.80430E+00
	0.93791E+04	0.78920E+00
	0.93826E+04	0.73520E+00
	0.93861E+04	0.96060E+00
	0.93897E+04	0.80280E+00
	0.93932E+04	0.98870E+00
	0.93967E+04	0.99140E+00
	0.94003E+04	0.89040E+00
	0.94038E+04	0.92390E+00
	0.94073E+04	0.99050E+00
	0.94109E+04	0.96830E+00
	0.94144E+04	0.84990E+00
	0.94180E+04	0.98210E+00
	0.94215E+04	0.87130E+00
	0.94251E+04	0.89600E+00
	0.94286E+04	0.74430E+00
	0.94322E+04	0.66440E+00
	0.94357E+04	0.98550E+00
	0.94393E+04	0.79870E+00
	0.94429E+04	0.66080E+00
	0.94464E+04	0.80640E+00
	0.94500E+04	0.93100E+00
	0.94536E+04	0.94970E+00
	0.94572E+04	0.73580E+00
	0.94607E+04	0.88040E+00
	0.94643E+04	0.72800E+00
	0.94679E+04	0.94670E+00
	0.94715E+04	0.82910E+00
	0.94751E+04	0.97620E+00
	0.94787E+04	0.89640E+00
	0.94823E+04	0.79240E+00
	0.94859E+04	0.81950E+00
	0.94895E+04	0.95140E+00
	0.94931E+04	0.99120E+00
	0.94967E+04	0.72070E+00
	0.95003E+04	0.85180E+00
	0.95039E+04	0.65500E+00
	0.95075E+04	0.98750E+00
	0.95111E+04	0.98180E+00
	0.95147E+04	0.98360E+00
	0.95184E+04	0.83610E+00
	0.95220E+04	0.86650E+00
	0.95256E+04	0.78260E+00
	0.95293E+04	0.87000E+00
	0.95329E+04	0.89670E+00
	0.95365E+04	0.99140E+00
	0.95402E+04	0.95130E+00
	0.95438E+04	0.92900E+00
	0.95475E+04	0.73160E+00
	0.95511E+04	0.95460E+00
	0.95547E+04	0.88280E+00
	0.95584E+04	0.86510E+00
	0.95621E+04	0.96410E+00
	0.95657E+04	0.88560E+00
	0.95694E+04	0.82170E+00
	0.95730E+04	0.91780E+00
	0.95767E+04	0.99440E+00
	0.95804E+04	0.98800E+00
	0.95841E+04	0.80530E+00
	0.95877E+04	0.99050E+00
	0.95914E+04	0.88620E+00
	0.95951E+04	0.90600E+00
	0.95988E+04	0.95670E+00
	0.96025E+04	0.95100E+00
	0.96061E+04	0.90760E+00
	0.96098E+04	0.93870E+00
	0.96135E+04	0.90210E+00
	0.96172E+04	0.93190E+00
	0.96209E+04	0.93920E+00
	0.96246E+04	0.89220E+00
	0.96283E+04	0.91470E+00
	0.96321E+04	0.98440E+00
	0.96358E+04	0.99480E+00
	0.96395E+04	0.87760E+00
	0.96432E+04	0.96770E+00
	0.96469E+04	0.92620E+00
	0.96506E+04	0.95500E+00
	0.96544E+04	0.97610E+00
	0.96581E+04	0.97680E+00
	0.96618E+04	0.95330E+00
	0.96656E+04	0.90670E+00
	0.96693E+04	0.97600E+00
	0.96731E+04	0.94450E+00
	0.96768E+04	0.99850E+00
	0.96805E+04	0.99760E+00
	0.96843E+04	0.93630E+00
	0.96880E+04	0.99890E+00
	0.96918E+04	0.99630E+00
	0.96956E+04	0.98780E+00
	0.96993E+04	0.99210E+00
	0.97031E+04	0.95570E+00
	0.97069E+04	0.99830E+00
	0.97106E+04	0.98730E+00
	0.97144E+04	0.99830E+00
	0.97182E+04	0.95420E+00
	0.97220E+04	0.99790E+00
	0.97257E+04	0.96000E+00
	0.97295E+04	0.99860E+00
	0.97333E+04	0.98740E+00
	0.97371E+04	0.96320E+00
	0.97409E+04	0.96710E+00
	0.97447E+04	0.94220E+00
	0.97485E+04	0.99490E+00
	0.97523E+04	0.95170E+00
	0.97561E+04	0.97030E+00
	0.97599E+04	0.94820E+00
	0.97637E+04	0.97320E+00
	0.97675E+04	0.97790E+00
	0.97714E+04	0.10000E+01
	0.97752E+04	0.98490E+00
	0.97790E+04	0.98790E+00
	0.97828E+04	0.98320E+00
	0.97867E+04	0.96400E+00
	0.97905E+04	0.99200E+00
	0.97943E+04	0.95580E+00
	0.97982E+04	0.99480E+00
	0.98020E+04	0.98670E+00
	0.98058E+04	0.99100E+00
	0.98097E+04	0.99930E+00
	0.98135E+04	0.99840E+00
	0.98174E+04	0.99270E+00
	0.98213E+04	0.99560E+00
	0.98251E+04	0.97370E+00
	0.98290E+04	0.97830E+00
	0.98328E+04	0.99330E+00
	0.98367E+04	0.99810E+00
	0.98406E+04	0.99990E+00
	0.98445E+04	0.99510E+00
	0.98483E+04	0.99710E+00
	0.98522E+04	0.99010E+00
	0.98561E+04	0.99970E+00
	0.98600E+04	0.99930E+00
	0.98639E+04	0.99990E+00
	0.98678E+04	0.99910E+00
	0.98717E+04	0.99890E+00
	0.98756E+04	0.99620E+00
	0.98795E+04	0.99950E+00
	0.98834E+04	0.10000E+01
	0.98873E+04	0.99960E+00
	0.98912E+04	0.99920E+00
	0.98951E+04	0.10000E+01
	0.98990E+04	0.99950E+00
	0.99030E+04	0.99780E+00
	0.99069E+04	0.10000E+01
	0.99108E+04	0.10000E+01
	0.99147E+04	0.99990E+00
	0.99187E+04	0.10000E+01
	0.99226E+04	0.99960E+00
	0.99265E+04	0.10000E+01
	0.99305E+04	0.99850E+00
