mass(M_sun),luminosity(log L/L_sun),radius(log R/R_sun),T_center(log T),age(yrs),density(g/cm^3),pressure(log P/ergs/cm^3),X,Y,tau_dyn(years),tau_kh(years)
6.94659776E+00,3.25150427E+00,5.22412296E-01,7.45181490E+00,0.00000000E+00,1.08301374E+00,1.66766265E+01,6.98918019E-01,2.81392784E-01,5.18202481E+03,6.41813647E+04
7.36357319E+00,3.33623028E+00,5.36903757E-01,7.45677783E+00,0.00000000E+00,1.05243117E+00,1.66526467E+01,6.98945033E-01,2.81392784E-01,5.29149576E+03,5.73884352E+04
7.80557792E+00,3.42008520E+00,5.51339359E-01,7.46170908E+00,0.00000000E+00,1.02238534E+00,1.66293185E+01,6.98968749E-01,2.81392784E-01,5.40223692E+03,5.14241090E+04
8.27411436E+00,3.50304661E+00,5.65719669E-01,7.46660306E+00,0.00000000E+00,9.92885781E-01,1.66066538E+01,6.98989469E-01,2.81392784E-01,5.51424255E+03,4.61804295E+04
8.77077509E+00,3.58509473E+00,5.80049793E-01,7.47145413E+00,0.00000000E+00,9.63939651E-01,1.65846618E+01,6.99007502E-01,2.81392784E-01,5.62759485E+03,4.15635503E+04
9.29724831E+00,3.66621152E+00,5.94338389E-01,7.47625535E+00,0.00000000E+00,9.35548095E-01,1.65633442E+01,6.99023153E-01,2.81392784E-01,5.74245352E+03,3.74921343E+04
9.85532354E+00,3.74638180E+00,6.08585004E-01,7.48100029E+00,0.00000000E+00,9.07710354E-01,1.65427008E+01,6.99036716E-01,2.81392784E-01,5.85880689E+03,3.38966030E+04
1.04468977E+01,3.82558991E+00,6.22793961E-01,7.48568598E+00,0.00000000E+00,8.80433195E-01,1.65227419E+01,6.99048467E-01,2.81392784E-01,5.97674037E+03,3.07165207E+04
1.10739816E+01,3.90381731E+00,6.36973945E-01,7.49031023E+00,0.00000000E+00,8.53722398E-01,1.65034771E+01,6.99058687E-01,2.81392784E-01,6.09643769E+03,2.78995728E+04
1.17387067E+01,3.98104232E+00,6.51121988E-01,7.49486869E+00,0.00000000E+00,8.27573178E-01,1.64849025E+01,6.99067618E-01,2.81392784E-01,6.21784622E+03,2.54013854E+04
1.24433326E+01,4.05724113E+00,6.65236603E-01,7.49935665E+00,0.00000000E+00,8.01976688E-01,1.64670096E+01,6.99075468E-01,2.81392784E-01,6.34094039E+03,2.31833875E+04
1.31902542E+01,4.13238863E+00,6.79325651E-01,7.50377073E+00,0.00000000E+00,7.76925899E-01,1.64497918E+01,6.99082423E-01,2.81392784E-01,6.46590047E+03,2.12115913E+04
1.39820104E+01,4.20646098E+00,6.93391453E-01,7.50811045E+00,0.00000000E+00,7.52419946E-01,1.64332512E+01,6.99088640E-01,2.81392784E-01,6.59279376E+03,1.94566478E+04
1.48212924E+01,4.27943783E+00,7.07424858E-01,7.51237373E+00,0.00000000E+00,7.28450421E-01,1.64173798E+01,6.99094239E-01,2.81392784E-01,6.72142520E+03,1.78933092E+04
1.57109531E+01,4.35130275E+00,7.21424562E-01,7.51655848E+00,0.00000000E+00,7.05007248E-01,1.64021672E+01,6.99099307E-01,2.81392784E-01,6.85176877E+03,1.64990509E+04
1.66540164E+01,4.42204391E+00,7.35398998E-01,7.52066295E+00,0.00000000E+00,6.82080001E-01,1.63876021E+01,6.99103912E-01,2.81392784E-01,6.98403045E+03,1.52537378E+04
1.76536878E+01,4.49167685E+00,7.49361150E-01,7.52468868E+00,0.00000000E+00,6.59676878E-01,1.63736927E+01,6.99108100E-01,2.81392784E-01,7.11854319E+03,1.41388502E+04
1.87133654E+01,4.56018750E+00,7.63302919E-01,7.52863662E+00,0.00000000E+00,6.37785455E-01,1.63604275E+01,6.99111927E-01,2.81392784E-01,7.25513586E+03,1.31399765E+04
1.98366511E+01,4.62756513E+00,7.77220894E-01,7.53250597E+00,0.00000000E+00,6.16388377E-01,1.63477876E+01,6.99115437E-01,2.81392784E-01,7.39374187E+03,1.22442418E+04
2.10273629E+01,4.69380929E+00,7.91122955E-01,7.53629651E+00,0.00000000E+00,5.95472590E-01,1.63357575E+01,6.99118667E-01,2.81392784E-01,7.53458172E+03,1.14398039E+04
2.22895482E+01,4.75892040E+00,8.05019471E-01,7.54000769E+00,0.00000000E+00,5.75022529E-01,1.63243186E+01,6.99121649E-01,2.81392784E-01,7.67795734E+03,1.07162754E+04
2.36274973E+01,4.82290018E+00,8.18913402E-01,7.54364005E+00,0.00000000E+00,5.55024564E-01,1.63134545E+01,6.99124415E-01,2.81392784E-01,7.82399139E+03,1.00647518E+04
2.50457578E+01,4.88575264E+00,8.32802490E-01,7.54719510E+00,0.00000000E+00,5.35466459E-01,1.63031512E+01,6.99126986E-01,2.81392784E-01,7.97266961E+03,9.47751389E+03
2.65491507E+01,4.94748439E+00,8.46693563E-01,7.55067350E+00,0.00000000E+00,5.16332598E-01,1.62933896E+01,6.99129383E-01,2.81392784E-01,8.12422886E+03,8.94755791E+03
2.81427860E+01,5.00810570E+00,8.60600579E-01,7.55407574E+00,0.00000000E+00,4.97606314E-01,1.62841494E+01,6.99131620E-01,2.81392784E-01,8.27912510E+03,8.46855107E+03
2.98320806E+01,5.06763767E+00,8.74535452E-01,7.55740279E+00,0.00000000E+00,4.79273401E-01,1.62754126E+01,6.99133711E-01,2.81392784E-01,8.43778639E+03,8.03480190E+03
3.16227766E+01,5.12611066E+00,8.88506828E-01,7.56065629E+00,0.00000000E+00,4.61322197E-01,1.62671637E+01,6.99135664E-01,2.81392784E-01,8.60057253E+03,7.64123786E+03
